h_over_J,time,trotter_steps,dt,sim_mz,exact_mz,abs_error_mz,se_mz,sim_mz2,exact_mz2,abs_error_mz2,se_mz2,sim_czz,exact_czz,abs_error_czz,se_czz
0.5,1.0,1,1.0,0.53745,0.8175903486138817,0.2801403486138817,0.0029944776572290474,0.3785125,0.7252329649885917,0.3467204649885917,0.0030577408878629227,0.28674285714285724,0.7715636795453144,0.4848208224024571,0.004297900124509921
0.5,1.0,2,0.5,0.779525,0.8175903486138817,0.03806534861388167,0.002550559345084382,0.67270625,0.7252329649885917,0.05252671498859174,0.00332534678292602,0.7064285714285716,0.7715636795453144,0.06513510811674272,0.00328145768699786
0.5,1.0,4,0.25,0.803025,0.8175903486138817,0.014565348613881701,0.0024766556724405554,0.70618125,0.7252329649885917,0.019051714988591706,0.003265545077901902,0.7474571428571428,0.7715636795453144,0.02410653668817153,0.0030470253456041365
0.5,1.0,8,0.125,0.80605,0.8175903486138817,0.011540348613881646,0.0024372492216383685,0.7091125,0.7252329649885917,0.016120464988591654,0.003241847515986322,0.7551714285714286,0.7715636795453144,0.016392250973885747,0.002959494831366366
0.5,1.0,16,0.0625,0.80535,0.8175903486138817,0.01224034861388168,0.00248957979401245,0.7105625,0.7252329649885917,0.014670464988591703,0.003262545732222077,0.7514285714285713,0.7715636795453144,0.020135108116743017,0.0030482029786479247
0.5,1.0,32,0.03125,0.7926,0.8175903486138817,0.02499034861388172,0.0025232242599631536,0.691875,0.7252329649885917,0.03335796498859167,0.0033203634467994427,0.7341999999999993,0.7715636795453144,0.037363679545315054,0.003129010857834492
0.5,1.0,64,0.015625,0.769425,0.8175903486138817,0.048165348613881664,0.0026774257783139083,0.66369375,0.7252329649885917,0.06153921498859172,0.0034060140416267994,0.7053714285714284,0.7715636795453144,0.06619225097388592,0.003251318169862536
0.5,1.0,128,0.0078125,0.7163,0.8175903486138817,0.10129034861388164,0.00291586714857224,0.5981,0.7252329649885917,0.12713296498859172,0.0035251294875210445,0.6411142857142859,0.7715636795453144,0.1304493938310285,0.003510524998676396
0.5,1.0,256,0.00390625,0.642675,0.8175903486138817,0.1749153486138817,0.0032174981999943215,0.51654375,0.7252329649885917,0.20868921498859172,0.0035737270144166177,0.5472000000000006,0.7715636795453144,0.22436367954531378,0.0038003070537468596
0.5,1.0,512,0.001953125,0.49525,0.8175903486138817,0.32234034861388167,0.0035132218863604785,0.3686875,0.7252329649885917,0.3565454649885917,0.0032974174600079917,0.37785714285714256,0.7715636795453144,0.3937065366881718,0.00398280802265969
0.5,1.0,1024,0.0009765625,0.296875,0.8175903486138817,0.5207153486138817,0.0037196817122845433,0.22648125,0.7252329649885917,0.4987517149885917,0.00259974672240313,0.19594285714285706,0.7715636795453144,0.5756208224024573,0.003954300069122062
1.0,1.0,1,1.0,-0.417325,0.23911267544186998,0.6564376754418699,0.0032449056039795476,0.27944375,0.27945773602424034,1.3986024240353334e-05,0.0027014342988162477,0.17568571428571428,0.4889454276261531,0.31325971334043884,0.004135764885702868
1.0,1.0,2,0.5,0.147975,0.23911267544186998,0.09113767544186999,0.004488928601069363,0.22338125,0.27945773602424034,0.05607648602424034,0.0026432178660512435,0.3775714285714286,0.4889454276261531,0.1113739990547245,0.0032763459573186553
1.0,1.0,4,0.25,0.213375,0.23911267544186998,0.025737675441869973,0.00467786534435505,0.26433125,0.27945773602424034,0.015126486024240327,0.002972726534706609,0.4585142857142856,0.4889454276261531,0.03043114191186752,0.0031174767578157417
1.0,1.0,8,0.125,0.2345,0.23911267544186998,0.0046126754418699956,0.004677409840529438,0.27375,0.27945773602424034,0.005707736024240351,0.0030620152830708367,0.4749999999999998,0.4889454276261531,0.013945427626153306,0.003083875445518236
1.0,1.0,16,0.0625,0.23435,0.23911267544186998,0.004762675441869979,0.00464059923567276,0.27025,0.27945773602424034,0.009207736024240354,0.0030243132934750176,0.4690857142857142,0.4889454276261531,0.0198597133404389,0.003128033380037628
1.0,1.0,32,0.03125,0.223925,0.23911267544186998,0.015187675441869969,0.0046581707024248575,0.26710625,0.27945773602424034,0.012351486024240355,0.003001320955236441,0.4647999999999998,0.4889454276261531,0.024145427626153293,0.0031439515552746243
1.0,1.0,64,0.015625,0.2098,0.23911267544186998,0.029312675441869995,0.004623908958165736,0.2578,0.27945773602424034,0.02165773602424037,0.0028963185453453858,0.4369142857142854,0.4889454276261531,0.052031141911867695,0.0032189163944595393
1.0,1.0,128,0.0078125,0.185225,0.23911267544186998,0.05388767544186998,0.004544981916747563,0.24085625,0.27945773602424034,0.03860148602424035,0.0027438442219275445,0.40299999999999997,0.4889454276261531,0.08594542762615315,0.003269176607395895
1.0,1.0,256,0.00390625,0.17705,0.23911267544186998,0.06206267544186997,0.004577928078568869,0.2409,0.27945773602424034,0.03855773602424034,0.002863243583138123,0.3843428571428573,0.4889454276261531,0.1046025704832958,0.00345936594208709
1.0,1.0,512,0.001953125,0.102025,0.23911267544186998,0.13708767544186998,0.0042937813863026765,0.19475625,0.27945773602424034,0.08470148602424035,0.0023947443185294045,0.25274285714285705,0.4889454276261531,0.23620257048329607,0.003654068355694163
1.0,1.0,1024,0.0009765625,0.0077,0.23911267544186998,0.23141267544186997,0.003819918870606783,0.1459625,0.27945773602424034,0.13349523602424035,0.001857016851171134,0.09025714285714281,0.4889454276261531,0.3986882847690103,0.0037039143635412214
2.0,1.0,1,1.0,-0.6459,-0.4158334328843922,0.23006656711560786,0.0027222803090438895,0.4912875,0.3885036607629468,0.1027838392370532,0.003212755949251973,0.41854285714285705,0.5285414635587911,0.10999860641593401,0.004232707879096105
2.0,1.0,2,0.5,-0.038725,-0.4158334328843922,0.37710843288439216,0.004568396815344114,0.21018125,0.3885036607629468,0.1783224107629468,0.002585651143624639,0.3555714285714285,0.5285414635587911,0.17297003498736258,0.0033764604168350356
2.0,1.0,4,0.25,-0.3602,-0.4158334328843922,0.05563343288439215,0.004638453139221358,0.344875,0.3885036607629468,0.0436286607629468,0.003540948286684924,0.48414285714285715,0.5285414635587911,0.044398606415933906,0.00355760156821951
2.0,1.0,8,0.125,-0.398125,-0.4158334328843922,0.017708432884392167,0.004622895256606551,0.37219375,0.3885036607629468,0.0163099107629468,0.0036373534633872898,0.5072,0.5285414635587911,0.021341463558791074,0.003528099958952495
2.0,1.0,16,0.0625,-0.410425,-0.4158334328843922,0.005408432884392189,0.004599496980621628,0.37998125,0.3885036607629468,0.008522410762946797,0.003662029672664614,0.5118285714285715,0.5285414635587911,0.016712892130219537,0.0035553247035482504
2.0,1.0,32,0.03125,-0.4083,-0.4158334328843922,0.007533432884392177,0.004591428875841614,0.3775,0.3885036607629468,0.011003660762946788,0.0036805372753802596,0.5037142857142858,0.5285414635587911,0.024827177844505277,0.003621693908755635
2.0,1.0,64,0.015625,-0.392625,-0.4158334328843922,0.02320843288439217,0.004536765826215432,0.35995625,0.3885036607629468,0.028547410762946812,0.0035728704022655075,0.4759428571428572,0.5285414635587911,0.052598606415933835,0.0036699278172679563
2.0,1.0,128,0.0078125,-0.385025,-0.4158334328843922,0.030808432884392167,0.004437698643939834,0.34515625,0.3885036607629468,0.04334741076294679,0.003471512352116126,0.43671428571428567,0.5285414635587911,0.09182717784450539,0.0037952324511849977
2.0,1.0,256,0.00390625,-0.3471,-0.4158334328843922,0.06873343288439215,0.004264853795593675,0.30235,0.3885036607629468,0.08615366076294678,0.003186950096109368,0.36968571428571423,0.5285414635587911,0.15885574927307683,0.0038593699924961886
2.0,1.0,512,0.001953125,-0.3143,-0.4158334328843922,0.10153343288439215,0.004019877727206907,0.2603625,0.3885036607629468,0.1281411607629468,0.0028664556321638954,0.25785714285714295,0.5285414635587911,0.2706843207016481,0.004018418370104231
2.0,1.0,1024,0.0009765625,-0.2057,-0.4158334328843922,0.21013343288439218,0.0037596761185575076,0.18365,0.3885036607629468,0.20485366076294678,0.0022610764022141456,0.1256,0.5285414635587911,0.40294146355879107,0.003920162526836283
0.5,2.5,1,2.5,-0.79545,0.7611858141955683,1.5566358141955683,0.002139833553985887,0.678525,0.7035340955976432,0.025009095597643194,0.0030395918886233614,0.6315714285714286,0.80191789966,0.17034647108857148,0.0037930828521484375
0.5,2.5,2,1.25,-0.12565,0.7611858141955683,0.8868358141955683,0.003376736291865043,0.1298,0.7035340955976432,0.5737340955976432,0.0013402077695964043,0.16225714285714277,0.80191789966,0.6396607568028573,0.0030588836304543477
0.5,2.5,4,0.625,0.6928,0.7611858141955683,0.06838581419556833,0.0037811037640571913,0.622925,0.7035340955976432,0.08060909559764329,0.003915894260610983,0.7123428571428572,0.80191789966,0.08957504251714288,0.003199845899247204
0.5,2.5,8,0.3125,0.734825,0.7611858141955683,0.02636081419556835,0.003598456867420071,0.66944375,0.7035340955976432,0.034090345597643235,0.00386563698645189,0.767457142857143,0.80191789966,0.034460756802857095,0.0029382384661072293
0.5,2.5,16,0.15625,0.734125,0.7611858141955683,0.027060814195568272,0.003629805915830577,0.67068125,0.7035340955976432,0.03285284559764323,0.0038809903840359926,0.7686571428571426,0.80191789966,0.03326075680285745,0.0029385428697396077
0.5,2.5,32,0.078125,0.720675,0.7611858141955683,0.040510814195568345,0.0036959092808186204,0.65595625,0.7035340955976432,0.04757784559764322,0.0039048388120008896,0.7563142857142863,0.80191789966,0.04560361394571377,0.0030115054032876253
0.5,2.5,64,0.0390625,0.70635,0.7611858141955683,0.054835814195568267,0.0037033213753225477,0.6360625,0.7035340955976432,0.06747159559764326,0.003923766344802894,0.7344285714285711,0.80191789966,0.06748932823142895,0.0031252094067823638
0.5,2.5,128,0.01953125,0.649575,0.7611858141955683,0.11161081419556829,0.0038845676624422957,0.57283125,0.7035340955976432,0.13070284559764322,0.003976759852786741,0.6773428571428569,0.80191789966,0.12457504251714313,0.0033776229561162685
0.5,2.5,256,0.009765625,0.561675,0.7611858141955683,0.19951081419556826,0.004033065955275212,0.47811875,0.7035340955976432,0.22541534559764326,0.0038492249129645326,0.5714857142857139,0.80191789966,0.2304321853742861,0.003676695007199356
0.5,2.5,512,0.0048828125,0.43305,0.7611858141955683,0.3281358141955683,0.004238492212051729,0.3671625,0.7035340955976432,0.33637159559764324,0.0035250030920631692,0.43379999999999963,0.80191789966,0.3681178996600004,0.0038776695135835783
0.5,2.5,1024,0.00244140625,0.156475,0.7611858141955683,0.6047108141955683,0.004007029830972891,0.18503125,0.7035340955976432,0.5185028455976433,0.0022862084637577836,0.18771428571428575,0.80191789966,0.6142036139457143,0.003787548593530279
1.0,2.5,1,2.5,0.285175,-0.0013101880739582739,0.2864851880739583,0.0034209746044401475,0.19834375,0.26613508325362256,0.06779133325362255,0.0022710575491019336,0.08091428571428572,0.46416700447870857,0.38325271876442285,0.004009371348216775
1.0,2.5,2,1.25,0.6012,-0.0013101880739582739,0.6025101880739583,0.003045165562548338,0.4541625,0.26613508325362256,0.18802741674637746,0.0033535431053605008,0.3829428571428569,0.46416700447870857,0.08122414733585165,0.004159481767941463
1.0,2.5,4,0.625,-0.00685,-0.0013101880739582739,0.005539811926041726,0.004357144273560615,0.189875,0.26613508325362256,0.07626008325362257,0.002699654329881899,0.24051428571428565,0.46416700447870857,0.22365271876442291,0.00398340141466005
1.0,2.5,8,0.3125,-0.005575,-0.0013101880739582739,0.004264811926041726,0.004949238975250985,0.24495625,0.26613508325362256,0.021178833253622575,0.00341626253471017,0.40897142857142843,0.46416700447870857,0.05519557590728014,0.0039054967941208473
1.0,2.5,16,0.15625,-0.00025,-0.0013101880739582739,0.0010601880739582739,0.005056065676987691,0.2556125,0.26613508325362256,0.010522583253622542,0.003371169431771232,0.43859999999999993,0.46416700447870857,0.025567004478708633,0.003670325585625972
1.0,2.5,32,0.078125,-0.0007,-0.0013101880739582739,0.0006101880739582739,0.005098043742946945,0.259875,0.26613508325362256,0.006260083253622539,0.0033637969544095627,0.436657142857143,0.46416700447870857,0.027509861621565546,0.0036743618037551793
1.0,2.5,64,0.0390625,-0.0059,-0.0013101880739582739,0.004589811926041726,0.005097461859763266,0.25985,0.26613508325362256,0.0062850832536225365,0.003289206536227817,0.4304571428571431,0.46416700447870857,0.03370986162156547,0.0036463225107633453
1.0,2.5,128,0.01953125,-0.016325,-0.0013101880739582739,0.015014811926041725,0.004921142774002824,0.24241875,0.26613508325362256,0.023716333253622573,0.0030922808527737247,0.39994285714285704,0.46416700447870857,0.06422414733585152,0.0036570578030056295
1.0,2.5,256,0.009765625,-0.02475,-0.0013101880739582739,0.023439811926041727,0.004767574511916166,0.2278875,0.26613508325362256,0.03824758325362257,0.002854869197912352,0.3532571428571428,0.46416700447870857,0.11090986162156574,0.003676156586634963
1.0,2.5,512,0.0048828125,-0.0636,-0.0013101880739582739,0.06228981192604173,0.004423794863700125,0.199725,0.26613508325362256,0.06641008325362255,0.002496539496672513,0.27511428571428564,0.46416700447870857,0.18905271876442292,0.003746013379743319
1.0,2.5,1024,0.00244140625,-0.088575,-0.0013101880739582739,0.08726481192604173,0.004133434463681087,0.17868125,0.26613508325362256,0.08745383325362255,0.0022247944002437813,0.17211428571428578,0.46416700447870857,0.2920527187644228,0.0038567157960881205
2.0,2.5,1,2.5,-0.832225,0.025796456250039027,0.858021456250039,0.001987756286622055,0.73210625,0.31723809800385694,0.414868151996143,0.0029172915936906303,0.6924,0.5122876094196385,0.18011239058036155,0.0035889743052092554
2.0,2.5,2,1.25,-0.153675,0.025796456250039027,0.17947145625003902,0.0033638008194742013,0.13675625,0.31723809800385694,0.18048184800385694,0.001359858648039573,0.17877142857142864,0.5122876094196385,0.33351618084820983,0.003002053597790847
2.0,2.5,4,0.625,0.677925,0.025796456250039027,0.652128543749961,0.003887178340782077,0.61066875,0.31723809800385694,0.29343065199614304,0.003934288573236781,0.6992000000000004,0.5122876094196385,0.1869123905803619,0.003309043014293524
2.0,2.5,8,0.3125,0.014025,0.025796456250039027,0.011771456250039027,0.005324123361310916,0.28363125,0.31723809800385694,0.03360684800385694,0.0029308133566532182,0.45879999999999993,0.5122876094196385,0.05348760941963854,0.003110646487683999
2.0,2.5,16,0.15625,0.03535,0.025796456250039027,0.009553543749960973,0.005525223123011043,0.3065,0.31723809800385694,0.010738098003856944,0.0035231578539892893,0.48688571428571414,0.5122876094196385,0.025401895133924324,0.0036609437511213047
2.0,2.5,32,0.078125,0.014275,0.025796456250039027,0.011521456250039027,0.0054869853415435545,0.30124375,0.31723809800385694,0.015994348003856962,0.0035553052281935395,0.4780285714285716,0.5122876094196385,0.03425903799106689,0.0037643981886130887
2.0,2.5,64,0.0390625,0.02065,0.025796456250039027,0.005146456250039025,0.005462288111143618,0.2987625,0.31723809800385694,0.018475598003856952,0.00351935822595644,0.4678571428571429,0.5122876094196385,0.04443046656249555,0.003776801893891652
2.0,2.5,128,0.01953125,0.0044,0.025796456250039027,0.021396456250039025,0.005313274610699966,0.2823,0.31723809800385694,0.03493809800385694,0.0033734157753528304,0.4311999999999998,0.5122876094196385,0.08108760941963866,0.003864963869551515
2.0,2.5,256,0.009765625,0.00105,0.025796456250039027,0.024746456250039028,0.004975426136174032,0.247525,0.31723809800385694,0.06971309800385694,0.0030495653251516415,0.3616571428571428,0.5122876094196385,0.15063046656249568,0.0038700670598876253
2.0,2.5,512,0.0048828125,-0.032425,0.025796456250039027,0.05822145625003903,0.004560571983773736,0.20901875,0.31723809800385694,0.10821934800385694,0.0026278649070568152,0.26499999999999996,0.5122876094196385,0.2472876094196385,0.0038761729524609736
2.0,2.5,1024,0.00244140625,-0.072275,0.025796456250039027,0.09807145625003903,0.00409388976779335,0.17280625,0.31723809800385694,0.14443184800385694,0.0022323879958936733,0.15077142857142856,0.5122876094196385,0.3615161808482099,0.0038770037259847124
0.5,5.0,1,5.0,0.2872,0.7317853231524527,0.4445853231524527,0.0033970972943091725,0.197875,0.753768316690922,0.555893316690922,0.0022884718477271648,0.08205714285714283,0.8434739632679586,0.7614168204108158,0.004036482355811404
0.5,5.0,2,2.5,0.7483,0.7317853231524527,0.01651467684754726,0.0028869178078779712,0.6432875,0.753768316690922,0.11048081669092202,0.0035127749099724296,0.7353714285714291,0.8434739632679586,0.10810253469652953,0.002875732191394907
0.5,5.0,4,1.25,0.202325,0.7317853231524527,0.5294603231524527,0.004030968780384046,0.20340625,0.753768316690922,0.550362066690922,0.0025955531680585107,0.2671714285714285,0.8434739632679586,0.5763025346965301,0.003373277196253134
0.5,5.0,8,0.625,0.617125,0.7317853231524527,0.11466032315245267,0.005060272628367698,0.63688125,0.753768316690922,0.11688706669092208,0.003921888674276858,0.7323428571428569,0.8434739632679586,0.1111311061251018,0.003056368649656957
0.5,5.0,16,0.3125,0.666325,0.7317853231524527,0.06546032315245276,0.004887393282600643,0.68283125,0.753768316690922,0.07093706669092203,0.003859896675440712,0.7835714285714286,0.8434739632679586,0.05990253469653006,0.0027903465206693427
0.5,5.0,32,0.15625,0.683425,0.7317853231524527,0.048360323152452755,0.0047411390801660475,0.69183125,0.753768316690922,0.06193706669092203,0.0038306154631242194,0.7885999999999999,0.8434739632679586,0.05487396326795879,0.002791157209126871
0.5,5.0,64,0.078125,0.644375,0.7317853231524527,0.08741032315245267,0.004920734935020385,0.65733125,0.753768316690922,0.096437066690922,0.00393206265228746,0.7566857142857143,0.8434739632679586,0.08678824898224435,0.0030184318795475075
0.5,5.0,128,0.0390625,0.589625,0.7317853231524527,0.14216032315245275,0.004941892670608781,0.59185625,0.753768316690922,0.16191206669092206,0.004023147159550653,0.6975714285714286,0.8434739632679586,0.14590253469653003,0.003289823928088166
0.5,5.0,256,0.01953125,0.480825,0.7317853231524527,0.2509603231524527,0.00506842439324915,0.48805625,0.753768316690922,0.265712066690922,0.0039560864573590345,0.5938857142857139,0.8434739632679586,0.24958824898224474,0.0036389999281321536
0.5,5.0,512,0.009765625,0.313175,0.7317853231524527,0.4186103231524527,0.004894017989209671,0.33756875,0.753768316690922,0.41619956669092206,0.003499417013130463,0.4241714285714289,0.8434739632679586,0.4193025346965297,0.003928495474787348
0.5,5.0,1024,0.0048828125,0.132675,0.7317853231524527,0.5991103231524527,0.00442448494677114,0.21334375,0.753768316690922,0.540424566690922,0.002624916787234929,0.24257142857142858,0.8434739632679586,0.6009025346965301,0.0038831753452836892
1.0,5.0,1,5.0,-0.83215,-0.0013764544026794723,0.8307735455973204,0.001967364938815435,0.731175,0.5166354490674829,0.2145395509325171,0.002902896978638212,0.692,0.5684419818067634,0.12355801819323653,0.0035574251489854805
1.0,5.0,2,2.5,0.01305,-0.0013764544026794723,0.014426454402679473,0.004234650277921145,0.179475,0.5166354490674829,0.33716044906748294,0.0023103773981477975,0.22342857142857148,0.5684419818067634,0.34501341037819194,0.003946444317154023
1.0,5.0,4,1.25,0.4142,-0.0013764544026794723,0.4155764544026795,0.004405482587377093,0.365625,0.5166354490674829,0.15101044906748295,0.0037426326519465875,0.43434285714285725,0.5684419818067634,0.13409912466390617,0.0038037244872433564
1.0,5.0,8,0.625,-0.007925,-0.0013764544026794723,0.0065485455973205275,0.005595755148777375,0.31315625,0.5166354490674829,0.2034791990674829,0.003100166967215832,0.34014285714285714,0.5684419818067634,0.22829912466390628,0.003825466778403452
1.0,5.0,16,0.3125,-0.007225,-0.0013764544026794723,0.005848545597320527,0.007969818488408241,0.63516875,0.5166354490674829,0.11853330093251702,0.0039082914187692245,0.7051428571428567,0.5684419818067634,0.13670087533609332,0.003492645839408424
1.0,5.0,32,0.15625,0.00235,-0.0013764544026794723,0.0037264544026794724,0.007160190261610249,0.5126375,0.5166354490674829,0.003997949067482964,0.0037690014289665846,0.573742857142857,0.5684419818067634,0.00530087533609358,0.0037343471636894746
1.0,5.0,64,0.078125,-0.025275,-0.0013764544026794723,0.023898545597320527,0.006786390642108272,0.46114375,0.5166354490674829,0.055491699067482914,0.003673428851774137,0.5168285714285714,0.5684419818067634,0.051613410378192004,0.0037973755015731007
1.0,5.0,128,0.0390625,-0.026425,-0.0013764544026794723,0.02504854559732053,0.0064063367888837425,0.41106875,0.5166354490674829,0.10556669906748295,0.0036118400786467725,0.47337142857142855,0.5684419818067634,0.09507055323533486,0.00383367868239322
1.0,5.0,256,0.01953125,-0.0326,-0.0013764544026794723,0.031223545597320525,0.005765158081507434,0.3334,0.5166354490674829,0.18323544906748296,0.0033387304791074723,0.3943714285714288,0.5684419818067634,0.1740705532353346,0.0038856689762973495
1.0,5.0,512,0.009765625,-0.06535,-0.0013764544026794723,0.06397354559732053,0.004935749579586797,0.2478625,0.5166354490674829,0.26877294906748295,0.002865196052492206,0.28585714285714287,0.5684419818067634,0.28258483894962055,0.003918546011880367
1.0,5.0,1024,0.0048828125,-0.10055,-0.0013764544026794723,0.09917354559732053,0.004145713261170433,0.1819625,0.5166354490674829,0.3346729490674829,0.002251739609169264,0.1741714285714285,0.5684419818067634,0.3942705532353349,0.0038419474832706514
2.0,5.0,1,5.0,0.408875,0.02217302144752986,0.3867019785524701,0.0032183123202882426,0.27074375,0.7450764987574509,0.47433274875745085,0.0026703791797402306,0.17205714285714274,0.7960451240579688,0.623987981200826,0.004134439286767241
2.0,5.0,2,2.5,0.800475,0.02217302144752986,0.7783019785524702,0.002549804421472118,0.70576875,0.7450764987574509,0.03930774875745091,0.0033416593570514655,0.7782285714285716,0.7960451240579688,0.017816552629397187,0.0027375027507746067
2.0,5.0,4,1.25,0.23575,0.02217302144752986,0.21357697855247013,0.004111129271670844,0.224575,0.7450764987574509,0.5205014987574509,0.0028183929412658446,0.2834571428571429,0.7960451240579688,0.5125879812008258,0.003519379953427429
2.0,5.0,8,0.625,0.596175,0.02217302144752986,0.5740019785524701,0.005144128511547348,0.62001875,0.7450764987574509,0.1250577487574509,0.003967385463637918,0.7198000000000007,0.7960451240579688,0.07624512405796813,0.0031178833671415204
2.0,5.0,16,0.3125,-0.0021,0.02217302144752986,0.024273021447529863,0.0042633762017518185,0.18175,0.7450764987574509,0.5633264987574509,0.0021258723346707187,0.08308571428571425,0.7960451240579688,0.7129594097722546,0.0037582110169145427
2.0,5.0,32,0.15625,0.0111,0.02217302144752986,0.011073021447529861,0.007518116865819579,0.5652875,0.7450764987574509,0.1797889987574508,0.003708927806512603,0.5956571428571426,0.7960451240579688,0.20038798120082624,0.003859143818696987
2.0,5.0,64,0.078125,0.013325,0.02217302144752986,0.008848021447529861,0.007834555345598519,0.61391875,0.7450764987574509,0.1311577487574509,0.0038627570939136747,0.6642285714285713,0.7960451240579688,0.1318165526293975,0.003681249751293965
2.0,5.0,128,0.0390625,0.006775,0.02217302144752986,0.015398021447529862,0.007429270108357503,0.55193125,0.7450764987574509,0.19314524875745087,0.003979015185448324,0.6084,0.7960451240579688,0.18764512405796874,0.0039445609617051085
2.0,5.0,256,0.01953125,-0.0111,0.02217302144752986,0.03327302144752986,0.0066249202226740566,0.438975,0.7450764987574509,0.30610149875745085,0.0038651723950251333,0.4947428571428568,0.7960451240579688,0.30130226691511197,0.004151196077703468
2.0,5.0,512,0.009765625,-0.04945,0.02217302144752986,0.07162302144752986,0.005408525211598486,0.2949375,0.7450764987574509,0.45013899875745084,0.003265681468226837,0.32805714285714305,0.7960451240579688,0.46798798120082574,0.004161287952985361
2.0,5.0,1024,0.0048828125,-0.097725,0.02217302144752986,0.11989802144752987,0.004306095874881139,0.19495625,0.7450764987574509,0.5501202487574508,0.0024386848073198585,0.16225714285714285,0.7960451240579688,0.6337879812008259,0.004019023598293472
